,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,preds,outcome
334,LP002843,1,1,1,Graduate,1,4709,0,113,360,1,Semiurban,Y,0
335,LP002849,2,1,1,Graduate,1,1516,1951,35,360,1,Semiurban,Y,0
336,LP002850,2,2,3,Graduate,1,2400,0,46,360,1,Urban,Y,0
337,LP002853,1,2,1,Not Graduate,1,3015,2000,145,360,1,Urban,Y,0
338,LP002856,2,1,1,Graduate,1,2292,1558,119,360,1,Urban,Y,0
339,LP002857,2,1,2,Graduate,2,2360,3355,87,240,1,Rural,Y,0
340,LP002858,1,2,1,Graduate,1,4333,2333,162,360,0,Rural,N,0
341,LP002860,2,1,1,Graduate,2,2623,4831,122,180,1,Semiurban,Y,0
342,LP002867,2,2,1,Graduate,2,3972,4275,187,360,1,Rural,Y,0
343,LP002869,2,1,4,Not Graduate,1,3522,0,81,180,1,Rural,N,0
344,LP002870,2,1,2,Graduate,1,4700,0,80,360,1,Urban,N,0
345,LP002876,2,2,1,Graduate,1,6858,0,176,360,1,Rural,Y,0
346,LP002878,2,1,4,Graduate,1,8334,0,260,360,1,Urban,Y,0
347,LP002879,2,1,1,Graduate,1,3391,1966,133,360,0,Rural,N,0
348,LP002885,2,2,1,Not Graduate,1,2868,0,70,360,1,Urban,Y,0
349,LP002890,2,1,3,Not Graduate,1,3418,1380,135,360,1,Urban,Y,0
350,LP002891,2,1,1,Graduate,2,2500,296,137,300,1,Rural,Y,0
351,LP002899,2,1,3,Graduate,1,8667,0,254,360,1,Rural,Y,0
352,LP002901,2,2,1,Graduate,1,2283,15000,106,360,1,Rural,Y,0
353,LP002907,2,1,1,Graduate,1,5817,910,109,360,1,Urban,Y,0
354,LP002920,2,1,1,Graduate,1,5119,3769,120,360,1,Rural,Y,0
355,LP002921,2,1,4,Not Graduate,1,5316,187,158,180,0,Semiurban,N,0
356,LP002932,2,1,4,Graduate,1,7603,1213,197,360,1,Urban,Y,0
357,LP002935,2,1,2,Graduate,1,3791,1936,85,360,1,Urban,Y,0
358,LP002952,2,2,1,Graduate,1,2500,0,60,360,1,Urban,Y,0
359,LP002954,2,1,3,Not Graduate,1,3132,0,76,360,1,Rural,Y,0
360,LP002962,2,2,1,Graduate,1,4000,2667,152,360,1,Semiurban,Y,0
361,LP002965,1,1,1,Graduate,1,8550,4255,96,360,1,Urban,Y,0
362,LP002969,2,1,2,Graduate,1,2269,2167,99,360,1,Semiurban,Y,0
363,LP002971,2,1,4,Not Graduate,2,4009,1777,113,360,1,Urban,Y,0
364,LP002975,2,1,1,Graduate,1,4158,709,115,360,1,Urban,Y,0
365,LP002980,2,2,1,Graduate,1,3250,1993,126,360,1,Semiurban,Y,0
366,LP002986,2,1,1,Graduate,1,5000,2393,158,360,1,Rural,Y,0
367,LP002989,2,2,1,Graduate,2,9200,0,98,180,1,Rural,Y,0
